id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_bayi,jumlah_kematian,satuan,tahun
93,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,25,ORANG,2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,5,ORANG,2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,BAYI,82,ORANG,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,ANAK BALITA,10,ORANG,2020
97,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,12,ORANG,2020
98,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,0,ORANG,2020
99,32,JAWA BARAT,3275,KOTA BEKASI,BAYI,47,ORANG,2020
100,32,JAWA BARAT,3275,KOTA BEKASI,ANAK BALITA,2,ORANG,2020
101,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,52,ORANG,2020
102,32,JAWA BARAT,3276,KOTA DEPOK,ANAK BALITA,7,ORANG,2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,69,ORANG,2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,0,ORANG,2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,99,ORANG,2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,16,ORANG,2020
107,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,43,ORANG,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,11,ORANG,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,92,ORANG,2021
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,6,ORANG,2021
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,197,ORANG,2021
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,9,ORANG,2021
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAYI,175,ORANG,2021
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ANAK BALITA,33,ORANG,2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,197,ORANG,2021
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,10,ORANG,2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYI,225,ORANG,2021
118,32,JAWA BARAT,3205,KABUPATEN GARUT,ANAK BALITA,10,ORANG,2021
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,179,ORANG,2021
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,10,ORANG,2021
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,114,ORANG,2021
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,13,ORANG,2021
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,102,ORANG,2021
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,1,ORANG,2021
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYI,104,ORANG,2021
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,16,ORANG,2021
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,53,ORANG,2021
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,1,ORANG,2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,161,ORANG,2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,25,ORANG,2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,182,ORANG,2021
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,6,ORANG,2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,95,ORANG,2021
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,0,ORANG,2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,67,ORANG,2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,8,ORANG,2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAYI,160,ORANG,2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ANAK BALITA,11,ORANG,2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,10,ORANG,2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,0,ORANG,2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAYI,112,ORANG,2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ANAK BALITA,6,ORANG,2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAYI,48,ORANG,2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ANAK BALITA,0,ORANG,2021
145,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,61,ORANG,2021
146,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,2,ORANG,2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,25,ORANG,2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,1,ORANG,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,BAYI,91,ORANG,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,ANAK BALITA,9,ORANG,2021
151,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,21,ORANG,2021
152,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,0,ORANG,2021
153,32,JAWA BARAT,3275,KOTA BEKASI,BAYI,40,ORANG,2021
154,32,JAWA BARAT,3275,KOTA BEKASI,ANAK BALITA,0,ORANG,2021
155,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,58,ORANG,2021
156,32,JAWA BARAT,3276,KOTA DEPOK,ANAK BALITA,3,ORANG,2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,72,ORANG,2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,10,ORANG,2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,99,ORANG,2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,20,ORANG,2021
161,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,33,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,7,ORANG,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,93,ORANG,2022
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,7,ORANG,2022
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,143,ORANG,2022
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,6,ORANG,2022
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAYI,129,ORANG,2022
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ANAK BALITA,3,ORANG,2022
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,251,ORANG,2022
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,25,ORANG,2022
171,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYI,300,ORANG,2022
172,32,JAWA BARAT,3205,KABUPATEN GARUT,ANAK BALITA,4,ORANG,2022
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,199,ORANG,2022
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,16,ORANG,2022
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,115,ORANG,2022
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,9,ORANG,2022
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,116,ORANG,2022
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,11,ORANG,2022
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYI,72,ORANG,2022
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,3,ORANG,2022
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,84,ORANG,2022
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,2,ORANG,2022
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,212,ORANG,2022
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,21,ORANG,2022
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,165,ORANG,2022
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,2,ORANG,2022
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,118,ORANG,2022
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,0,ORANG,2022
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,70,ORANG,2022
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,6,ORANG,2022
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAYI,178,ORANG,2022
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ANAK BALITA,4,ORANG,2022
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,23,ORANG,2022
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,0,ORANG,2022
