id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,angka_harapan_hidup,satuan,tahun
227,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.61,TAHUN,2018
228,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.81,TAHUN,2018
229,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.43,TAHUN,2018
230,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,72.03,TAHUN,2018
231,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,70.84,TAHUN,2018
232,32,JAWA BARAT,3271,KOTA BOGOR,73.21,TAHUN,2018
233,32,JAWA BARAT,3272,KOTA SUKABUMI,72.11,TAHUN,2018
234,32,JAWA BARAT,3273,KOTA BANDUNG,74.0,TAHUN,2018
235,32,JAWA BARAT,3274,KOTA CIREBON,71.99,TAHUN,2018
236,32,JAWA BARAT,3275,KOTA BEKASI,74.76,TAHUN,2018
237,32,JAWA BARAT,3276,KOTA DEPOK,74.17,TAHUN,2018
238,32,JAWA BARAT,3277,KOTA CIMAHI,73.75,TAHUN,2018
239,32,JAWA BARAT,3278,KOTA TASIKMALAYA,71.7,TAHUN,2018
240,32,JAWA BARAT,3279,KOTA BANJAR,70.59,TAHUN,2018
241,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.01,TAHUN,2019
242,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70.73,TAHUN,2019
243,32,JAWA BARAT,3203,KABUPATEN CIANJUR,69.91,TAHUN,2019
244,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.4,TAHUN,2019
245,32,JAWA BARAT,3205,KABUPATEN GARUT,71.22,TAHUN,2019
246,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69.21,TAHUN,2019
247,32,JAWA BARAT,3207,KABUPATEN CIAMIS,71.57,TAHUN,2019
248,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,73.35,TAHUN,2019
249,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.82,TAHUN,2019
250,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69.97,TAHUN,2019
251,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,72.29,TAHUN,2019
252,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,71.37,TAHUN,2019
253,32,JAWA BARAT,3213,KABUPATEN SUBANG,72.13,TAHUN,2019
254,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.8,TAHUN,2019
255,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.98,TAHUN,2019
256,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.56,TAHUN,2019
257,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,72.18,TAHUN,2019
258,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,71.12,TAHUN,2019
259,32,JAWA BARAT,3271,KOTA BOGOR,73.41,TAHUN,2019
260,32,JAWA BARAT,3272,KOTA SUKABUMI,72.26,TAHUN,2019
261,32,JAWA BARAT,3273,KOTA BANDUNG,74.14,TAHUN,2019
262,32,JAWA BARAT,3274,KOTA CIREBON,72.13,TAHUN,2019
263,32,JAWA BARAT,3275,KOTA BEKASI,74.89,TAHUN,2019
264,32,JAWA BARAT,3276,KOTA DEPOK,74.31,TAHUN,2019
265,32,JAWA BARAT,3277,KOTA CIMAHI,73.89,TAHUN,2019
266,32,JAWA BARAT,3278,KOTA TASIKMALAYA,71.93,TAHUN,2019
267,32,JAWA BARAT,3279,KOTA BANJAR,70.79,TAHUN,2019
268,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.17,TAHUN,2020
269,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70.97,TAHUN,2020
270,32,JAWA BARAT,3203,KABUPATEN CIANJUR,70.13,TAHUN,2020
271,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.53,TAHUN,2020
272,32,JAWA BARAT,3205,KABUPATEN GARUT,71.41,TAHUN,2020
273,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69.47,TAHUN,2020
274,32,JAWA BARAT,3207,KABUPATEN CIAMIS,71.83,TAHUN,2020
275,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,73.59,TAHUN,2020
276,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.99,TAHUN,2020
277,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,70.27,TAHUN,2020
278,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,72.43,TAHUN,2020
279,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,71.63,TAHUN,2020
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,72.35,TAHUN,2020
281,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.99,TAHUN,2020
282,32,JAWA BARAT,3215,KABUPATEN KARAWANG,72.15,TAHUN,2020
283,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.68,TAHUN,2020
284,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,72.34,TAHUN,2020
285,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,71.4,TAHUN,2020
286,32,JAWA BARAT,3271,KOTA BOGOR,73.61,TAHUN,2020
